订单ID,商品ID,交易单价,数量,交易时间,卖家ID,买家ID
T001,M001,10.0,10,2022-02-15,U001,U002
T002,M001,10.0,10,2022-02-15,U001,U003
T003,M001,10.0,10,2022-02-15,U001,U004
T004,M005,99.0,3,2022-03-01,U004,U005
T005,M005,99.0,7,2022-03-01,U004,U005
T006,M001,100.0,10,2022-03-01,U001,U006
T007,M008,4.5,49,2022-03-05,U006,U005
T008,M008,4.5,10,2022-03-18,U006,U005
T009,M008,4.5,10,2022-03-20,U006,U005
T010,M010,70.0,10,2022-03-20,U006,U005
T011,M008,4.5,10,2022-03-20,U006,U005
T012,M010,70.0,10,2022-03-20,U006,U005
T013,M009,998.0,6,2022-03-21,U005,U006
T014,M014,444.0,3,2022-03-30,U006,U005
T015,M013,5.0,1,2022-03-30,U006,U005
T016,M013,5.0,3,2022-03-30,U006,U005
T017,M010,70.0,10,2022-03-31,U006,U005
T018,M013,5.0,6,2022-03-31,U006,U005
T019,M014,444.0,10,2022-03-31,U006,U005
T020,M014,444.0,3,2022-04-01,U006,U005
T021,M007,23.0,10,2022-04-01,U007,U005
